model,threshold,window,contemporaneous,mean_test_recall,std_test_recall,mean_test_precision,std_test_precision,mean_test_accuracy,std_test_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_roc_auc,std_test_roc_auc,mean_test_f1,std_test_f1,mean_test_f1_macro,std_test_f1_macro,mean_test_f1_micro,std_test_f1_micro,mean_test_f1_weighted,std_test_f1_weighted,mean_test_precision_macro,std_test_precision_macro,mean_test_precision_micro,std_test_precision_micro,mean_test_precision_weighted,std_test_precision_weighted,mean_test_recall_macro,std_test_recall_macro,mean_test_recall_micro,std_test_recall_micro,mean_test_recall_weighted,std_test_recall_weighted,sensitivity_0,sensitivity_1,model_name
RUSBoostClassifier,0.2,2,False,0.7202679115853658,0.0394922445892026,0.2183725802999424,0.0109670226800704,0.7458482686818781,0.0222462989086104,0.7342979265687264,0.0078413807065718,0.8054330064757711,0.0061492088791024,0.3345202448675435,0.0093542043144183,0.5885960630598391,0.0125326497804207,0.7458482686818781,0.0222462989086104,0.7977278663390448,0.0157289873595172,0.5917530880621872,0.0042928861665234,0.7458482686818781,0.0222462989086104,0.8990846660500285,0.0025469804183464,0.7342979265687264,0.0078413807065718,0.7458482686818781,0.0222462989086104,0.7458482686818781,0.0222462989086104,75.09,69.08,RUSBoostClassifier_2bb782dd-64d1-41dd-a759-9439d83ff336
RUSBoostClassifier,0.2,2,True,0.7622328506097562,0.0421188396666714,0.2732494881066471,0.013499127314818,0.7985224541403081,0.0174746396228411,0.7821370118287969,0.0113076770436886,0.8621417158817266,0.0095326723913824,0.4015005945422876,0.0106289064334525,0.6401097024138113,0.0109178191698781,0.7985224541403081,0.0174746396228411,0.8365106220154628,0.0119534058641788,0.6227056430577982,0.0054010460610346,0.7985224541403081,0.0174746396228411,0.9103448037850564,0.0028375352478189,0.7821370118287969,0.0113076770436886,0.7985224541403081,0.0174746396228411,0.7985224541403081,0.0174746396228411,80.71,76.15,RUSBoostClassifier_59a553a6-a1dc-4d94-a7f6-a75493d7eec0
RUSBoostClassifier,0.2,4,False,0.7155172413793103,0.0430075561698154,0.2042676525328968,0.0170188915707815,0.7561944566119703,0.0236244711369234,0.7375955620161778,0.021308992054726,0.8092425311922942,0.0130780872336108,0.3172920664714838,0.0215658967261839,0.5843443274903091,0.018260187829798,0.7561944566119703,0.0236244711369234,0.8093125765723999,0.0166882538284258,0.5866306308730271,0.009591045001525,0.7561944566119703,0.0236244711369234,0.9087381703492412,0.0047129700643781,0.7375955620161778,0.021308992054726,0.7561944566119703,0.0236244711369234,0.7561944566119703,0.0236244711369234,76.25,67.97,RUSBoostClassifier_c967843c-8b26-45e1-bf4a-05db9213d7f7
RUSBoostClassifier,0.2,4,True,0.7591954022988505,0.0464913756693256,0.2594745798782802,0.0083744967433286,0.8098998578450191,0.0114360456528063,0.7867162230188589,0.0168292353452654,0.8661475513274917,0.0132415448256379,0.386279259079998,0.0091281179334933,0.636865566517925,0.0067536833605683,0.8098998578450191,0.0114360456528063,0.8479626416252843,0.0074307606547491,0.6174438952693325,0.0040746844934258,0.8098998578450191,0.0114360456528063,0.9190018599127756,0.0036754912441887,0.7867162230188589,0.0168292353452654,0.8098998578450191,0.0114360456528063,0.8098998578450191,0.0114360456528063,81.81,76.41,RUSBoostClassifier_5861d46b-a4c5-4ead-a4c0-eda86d0a728c
RUSBoostClassifier,0.2,8,False,0.6856959706959707,0.0530975850696871,0.1941024527304723,0.0238571563700564,0.7669339850100245,0.0347562318388048,0.7294809889826089,0.0244035103755064,0.8020495860365171,0.0316064568172351,0.3013846122571539,0.0286901939376027,0.5805385007302014,0.0254524189813872,0.7669339850100245,0.0347562318388048,0.8192620549659397,0.0241234686856333,0.5817104752247891,0.0126589117705869,0.7669339850100245,0.0347562318388048,0.9131775940027062,0.0048782707873475,0.7294809889826089,0.0244035103755064,0.7669339850100245,0.0347562318388048,0.7669339850100245,0.0347562318388048,75.59,68.31,RUSBoostClassifier_57dc4798-f9fa-457c-9eb8-957094c60a9e
RUSBoostClassifier,0.2,8,True,0.7431868131868132,0.0301259281903444,0.2529432088710539,0.0247127269311333,0.8202039345076475,0.021666783501115,0.784697448952256,0.0128427340956704,0.8578957190614245,0.0188280994245969,0.37643698065877,0.0258559050684795,0.6356265624023145,0.0196730461765424,0.8202039345076475,0.021666783501115,0.857277599662648,0.0147894554506771,0.614645579700343,0.0122811982677309,0.8202039345076475,0.021666783501115,0.9239595899871288,0.0024913609864727,0.784697448952256,0.0128427340956704,0.8202039345076475,0.021666783501115,0.8202039345076475,0.021666783501115,83.12,70.42,RUSBoostClassifier_e06fdd5c-a077-4289-addb-4cd27e1f2384
RUSBoostClassifier,0.2,12,False,0.733170731707317,0.0829497816156096,0.1997947996139278,0.0190281632957829,0.7675,0.0165369098611288,0.7516413166466036,0.0382158324882646,0.824362958288598,0.0414855203321583,0.3137100737100737,0.0293023359876875,0.5868024168578186,0.017516602471424,0.7675,0.0165369098611288,0.8203164940496863,0.0116577772951362,0.5868205760964739,0.0126100384866452,0.7675,0.0165369098611288,0.917732486844797,0.0075452612124087,0.7516413166466036,0.0382158324882646,0.7675,0.0165369098611288,0.7675,0.0165369098611288,78.57,55.81,RUSBoostClassifier_745251cd-46ae-431a-8bac-7d069c3c7afb
RUSBoostClassifier,0.2,12,True,0.7390243902439024,0.0736458154093304,0.328849625835413,0.0540176894097093,0.8671428571428571,0.0228571428571428,0.8081004565714844,0.0279735314864432,0.8724947036081077,0.0179403087531068,0.4499824904463766,0.0393836212845782,0.6871323015731188,0.0259715338778015,0.8671428571428571,0.0228571428571428,0.8899084639132336,0.0152619468024301,0.6531360062289231,0.0258770333433212,0.8671428571428571,0.0228571428571428,0.9304247028509142,0.0048835959955456,0.8081004565714844,0.0279735314864432,0.8671428571428571,0.0228571428571428,0.8671428571428571,0.0228571428571428,87.39,60.47,RUSBoostClassifier_7dd9ad72-791f-47dc-83d0-694f20398b7a
RUSBoostClassifier,0.2,14,False,0.6706552706552706,0.1216307352715452,0.1956120191962295,0.0429455298490445,0.7895719197491216,0.0294153701432036,0.7343617772863056,0.0672042566698831,0.7921180962999791,0.0605236212863394,0.3024049850315832,0.0627508448718509,0.58916923798104,0.0393721805382818,0.7895719197491216,0.0294153701432036,0.8373614472362435,0.0211222362893487,0.5833654626549167,0.0264557903922863,0.7895719197491216,0.0294153701432036,0.9189355160030674,0.0122188860555312,0.7343617772863056,0.0672042566698831,0.7895719197491216,0.0294153701432036,0.7895719197491216,0.0294153701432036,79.04,66.67,RUSBoostClassifier_0c3901c4-905a-4071-892b-32de0c840275
RUSBoostClassifier,0.2,14,True,0.6703703703703704,0.1137947518202756,0.3041859358329151,0.0600739209770483,0.8729298119671037,0.0210470797412434,0.7789125422266019,0.0595080456736799,0.8398716547047853,0.045235182519224,0.417052690442205,0.0743502981407207,0.6728365591885302,0.0424483313438866,0.8729298119671037,0.0210470797412434,0.8942379279392287,0.0156914191610347,0.6391084598765101,0.0335153677183179,0.8729298119671037,0.0210470797412434,0.9289791974683635,0.01094279817585,0.7789125422266019,0.0595080456736799,0.8729298119671037,0.0210470797412434,0.8729298119671037,0.0210470797412434,88.89,71.43,RUSBoostClassifier_cd00bbe0-1ebc-40d7-b9b7-60ddd8550faa
